id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,97272.0,1928430242285,1,1928430242285,13788363708,97894.0,97100.0,-198.62376209792274,-0.20378,-3716443085.276367,-0.19235,19825068.0,19825068.0,21000000.0,108786.0,-10.48451,2025-01-20T09:11:54.494Z,67.81,143509.10635,2013-07-06T00:00:00.000Z,,2025-02-16T10:19:29.520Z,,,
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2704.93,326086060378,2,326086060378,8623481915,2717.5,2681.98,7.26,0.26904,854807181.0,0.26283,120552658.8489057,120552658.8489057,,4878.26,-44.52717,2021-11-10T14:24:19.604Z,0.432979,624897.95984,2015-10-20T00:00:00.000Z,,2025-02-16T10:19:31.275Z,36.17715200159189,btc,3617.7152001591894
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.75,159243028637,3,275379763629,3321122361,2.82,2.72,-0.03455090940746608,-1.23895,-1924134132.9318848,-1.19387,57818864895.0,99986451428.0,100000000000.0,3.4,-18.7499,2018-01-07T00:00:00.000Z,0.00268621,102693.43225,2014-05-22T00:00:00.000Z,,2025-02-16T10:19:29.168Z,,,
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,141997326762,4,141997326762,32456127187,1.0,0.999995,-9.4501098720112e-05,-0.00945,-13424355.334777832,-0.00945,141996505143.6433,141996505143.6433,,1.32,-24.41887,2018-07-24T00:00:00.000Z,0.572521,74.6679,2015-03-02T00:00:00.000Z,,2025-02-16T10:19:32.445Z,,,
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,660.92,96381573664,5,96381573664,812977226,669.64,654.43,5.55,0.84697,768314768.0,0.80357,145887575.79,145887575.79,200000000.0,788.84,-16.61671,2024-12-04T10:35:25.220Z,0.0398177,1651838.30244,2017-10-19T00:00:00.000Z,,2025-02-16T10:19:39.889Z,,,
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,193.61,94620536207,6,115126079370,1821946474,195.94,192.57,-0.6215853522207624,-0.32002,-387393462.4234772,-0.40775,488388623.0310315,594229008.1258621,,293.31,-33.97951,2025-01-19T11:15:27.957Z,0.500801,38567.24121,2020-05-11T19:35:23.449Z,,2025-02-16T10:19:28.045Z,,,
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999929,56440655924,7,56441376184,4201537023,1.0,0.999884,-3.818419393675e-06,-0.00038,88880573.0,0.15772,56444689533.64412,56445409844.77545,,1.17,-14.73706,2019-05-08T00:40:28.300Z,0.877647,13.92782,2023-03-11T08:02:13.981Z,,2025-02-16T10:19:29.255Z,,,
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.270614,40066448556,8,40069287301,1224462177,0.280144,0.268498,-0.007685004202039269,-2.76142,-1126592217.1218796,-2.73491,148057346383.7052,148067836383.7052,,0.731578,-62.93154,2021-05-08T05:08:23.458Z,8.69e-05,311951.82678,2015-05-06T00:00:00.000Z,,2025-02-16T10:19:34.623Z,,,
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.780538,28028422925,9,35115380770,454308844,0.799648,0.773084,-0.014234800711499409,-1.79105,-515834106.13028336,-1.80714,35918136268.48197,45000000000.0,45000000000.0,3.09,-74.71659,2021-09-02T06:00:10.474Z,0.01925275,3953.84387,2020-03-13T02:22:55.044Z,,2025-02-16T10:19:39.136Z,,,
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2704.76,25423676202,10,25423676202,30623615,2715.65,2681.44,7.85,0.29122,52642990.0,0.20749,9399744.217849717,9399744.217849717,,4829.57,-44.01837,2021-11-10T14:40:47.256Z,482.9,459.88687,2020-12-22T04:08:21.854Z,,2025-02-16T10:19:26.656Z,,,
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.238972,20574576392,11,20574587177,479226629,0.239612,0.232582,0.00639001,2.74742,553621347.0,2.76521,86096026001.21667,86096071131.55489,,0.431288,-44.61045,2024-12-04T00:10:40.323Z,0.00180434,13139.6578,2017-11-12T00:00:00.000Z,,2025-02-16T10:19:28.419Z,124.77496221011616,usd,12477.496221011615
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,97127.0,12542851452,12,12542851452,95077106,97744.0,96832.0,-190.4973929408734,-0.19575,-24461940.129594803,-0.19465,129138.42002211,129138.42002211,129138.42002211,108368.0,-10.44891,2025-01-20T07:16:27.137Z,3139.17,2991.40648,2019-04-02T00:00:00.000Z,,2025-02-16T10:19:31.001Z,,,
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,19.07,12167801857,13,19068801787,343699277,19.25,18.74,-0.0805311684086476,-0.42054,-52658994.176963806,-0.43091,638099970.4505637,1000000000.0,1000000000.0,52.7,-63.84397,2021-05-10T00:13:57.214Z,0.148183,12757.73254,2017-11-29T00:00:00.000Z,,2025-02-16T10:19:37.554Z,,,
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3228.61,10859884883,14,10859884883,20193550,3238.68,3201.56,3.3,0.10247,78328418.0,0.7265,3362959.912106618,3362959.912106618,,7256.02,-55.60508,2022-05-13T15:09:54.509Z,558.54,476.73647,2022-05-13T01:36:45.053Z,,2025-02-16T10:19:29.953Z,,,
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.345811,10586363538,15,17291250206,174627645,0.358432,0.343854,-0.0094031125512275,-2.64717,-283451987.891346,-2.6077,30613002951.61005,50001786894.45016,50001786894.45016,0.875563,-60.40109,2018-01-03T00:00:00.000Z,0.00047612,72720.07909,2015-03-05T00:00:00.000Z,,2025-02-16T10:19:38.845Z,,,
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,25.4,10508543829,16,11440113298,206174971,26.26,25.19,-0.779307372747418,-2.97729,-286707452.6661205,-2.65587,413649150.7042933,450318638.473774,720000000.0,144.96,-82.47964,2021-11-21T14:18:56.538Z,2.8,806.71723,2020-12-31T13:15:21.540Z,,2025-02-16T10:19:38.139Z,,,
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.38,10458378558,17,33849092809,590236075,3.48,3.35,-0.07131885003133664,-2.06477,-210774554.7799797,-1.97555,3089707194.508888,10000000000.0,10000000000.0,5.35,-36.69802,2025-01-04T22:56:18.063Z,0.364846,827.64619,2023-10-19T10:40:30.078Z,,2025-02-16T10:19:37.444Z,,,
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,132.4,10002520885,18,10002520885,1376243876,136.6,129.78,0.201036,0.15207,30933240.0,0.31021,75538608.23347135,75538608.23347135,84000000.0,410.26,-67.69721,2021-05-10T03:13:07.904Z,1.15,11435.55704,2015-01-14T00:00:00.000Z,,2025-02-16T10:19:31.457Z,,,
ugold-inc,ugold,UGOLD Inc.,https://coin-images.coingecko.com/coins/images/35921/large/IMG_20240307_195222_084.jpg?1710221205,3038.58,9772585960,19,9772585960,13098317,3042.92,3038.35,-1.0319456334486858,-0.03395,9772585960.0,0.0,3215075.0,3215075.0,3215075.0,3055.67,-0.49887,2025-02-14T10:01:05.918Z,1998.42,52.14154,2025-02-03T14:05:07.157Z,,2025-02-16T10:19:28.014Z,,,
